Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,Notes,Citation,,,,
ALLIUM CERNUUM,45.1745,NA,NA,6.843,NA,NA,NA,NA,leafN from Komastu et al. 2023 EDI,SLA from m_brooke_121306 thesis,,,,
ALLIUM VINEALE,NA,0.5375,NA,17.40703293,NA,NA,NA,NA,"height, SLA from TRY",,,,,
ALOPECURUS PRATENSIS,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,NA,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA, depth from TRY",,,,
ALTERNANTHERA SESSILIS,20,0.3,9.62,13.2,,,46.03,0.292,"height, SLA from TRY","rootN,SRL, diam from groot",leafN from Komatsu et al. 2024 EDI,,,
ALYSSUM DESERTORUM,NA,0.1,NA,27.17578947,NA,NA,NA,NA,"height, SLA from TRY",,,,,
AMBROSIA ARTEMISIIFOLIA,23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36,"RootN, SRL, RTD, Diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, SLA from TRY",,
AMBROSIA DELTOIDEA,44.19,0.4,NA,2.617596281,NA,NA,NA,NA,"leafN, SLA, height from Carmona et al. 2021 Sci Adv",,,,,
AMBROSIA PSILOSTACHYA,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,"SRL, RootN, depth from groot","rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","leafN, height, SLA from Laughlin2010",RTD form Tucker et al. 2011 Ecosphere,,
AMBROSIA TENUIFOLIA,18.2,NA,NA,9.366271504,0.6096,NA,NA,NA,"leafN, SLA, depth from TRY",,,,,
AMORPHA CANESCENS,22.25861206,0.446,27.18327333,13.80561828,0.508,0.59,45.95532256,0.19,"SRL, rootN from groot","height, SLA from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","RTD, diam from Tucker et al. 2011 Ecosphere","leafN, depth from TRY",,
AMPHICARPAEA BRACTEATA,23.5625,0.1525,NA,31.34796238,NA,NA,NA,NA,SLA from Carmona et al. 2021 Sci Adv.,leaN from TRY,height from PI,,,
ANAGALLIS ARVENSIS,25,0.187,NA,28.34396552,0.315,NA,NA,NA,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,depth from Tumber-Davila et al. 2022 New Phytol,"height, SLA from TRY",,,
ANDROPOGON GERARDII,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,SRL from justin,"rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","RTD, SLA from Konza_Bachle&Nippert","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, rootN, depth from TRY",
ANDROPOGON LATERALIS,NA,0.317521698,NA,11.88385917,NA,NA,NA,NA,height from TRY,SLA from Streit et al. 2022 J Veg Sci,,,,
ANDROPOGON VIRGINICUS,13.3,0.763593333,NA,11.86738259,0.3556,NA,NA,NA,"leafN, height, SLA, depth from TRY",,,,,
ANDROSACE SEPTENTRIONALIS,19.4925,0.011,12.29704857,30.84123333,0.1,NA,79.99696667,NA,"RootN, depth, srl from groot","leafN, height, SLA from Laughlin2010",,,,
ANEMONE CYLINDRICA,21.49286663,0.378666667,18.61450125,15.51323914,NA,0.19,77,0.36,"height, SLA from TRY","rootN, RTD, SRL, diam from groot",leafN from Komastu et al. 2024 EDI,,,
ANEMONE PATENS,NA,0.20625,NA,24.26984405,0.762222222,0.359426374,33.15708162,NA,"depth, RTD, SRL from Groot","height, SLA from Carmona et al. 2021 Sci Adv.",,,,
ANTENNARIA NEGLECTA,14.85633333,0.3048,NA,17.70998319,0.2286,0.15753416,118.3340008,0.277125,"diam, RTD, SRL from Groot","leafN, height, SLA, depth from TRY",,,,
ANTHOXANTHUM ODORATUM,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"depth, RTD, SRL from Groot","leafN, height, rootN, SLA, diam from TRY",,,,
ANTHYLLIS VULNERARIA,32.33118574,0.2845,19.6042,18.21819656,1.7,0.22014466,149.3012403,0.25,"leafN, depth, RTD, SRL from Groot","leafN, height, SLA from TRY",,,,
APERA SPICA-VENTI,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,SLA from LEDA,SRL from Minden et al. 2017 AoB plants,depth from Tumber-Davila et al. 2022 New Phytol,height from TRY,,
APHANES ARVENSIS,15,0.1,NA,35.07,0.05,NA,21.0833,NA,"leafN, height, SLA from PI","depth, SRL from Lachaise 2020 Oikos",,,,
APHYLLANTHES MONSPELIENSIS,21.4,0.22,NA,5,0.8,NA,NA,NA,"height, SLA from Valerio et al. 2022 J. Ecol",depth from Guerro-Campo 2006 Annals Bot,,,,
APOCYNUM CANNABINUM,17.24,0.95292,NA,10.21642474,0.3048,0.326740067,54.03916377,0.304733333,leafN from Craine et al. 2012 Plant Soil,"diam, RTD, SRL from Groot","height, SLA, depth from TRY",,,
ARENARIA SERPYLLIFOLIA,12,0.075,13.275,23.7,0.21,0.067,NA,0.207422972,"leafN, height, SLA from PI, root C and N, RTD, SRL, Diam from Groot","rootDiam, rootN, RTD, from groot",leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,depth from Tumber-Davila et al. 2022 New Phytol,,
ARGYROLOBIUM ZANONII,22.77,0.1,NA,13,NA,NA,NA,NA,"height, SLA from Valerio et al. 2022 J. Ecol",leafN from Saura-Mas et al. 2009 Func. Ecol,,,,
ARISTIDA CONTORTA,10.79897,0.3,NA,9.37,NA,NA,NA,NA,"height, SLA from TRY",leafN from Jardine et al. 2020 J. Biogeo,,,,
ARISTIDA HOLATHERA,8.4875,0.7,2.975,5.62,NA,NA,NA,0.375,"RootN, rootdiam from groot","leafN, height, SLA from TRY",,,,
ARISTIDA JUNCIFORMIS,9.7441916,NA,NA,8.6,NA,NA,NA,NA,"leafN, SLA from Jardin et al 2020 J Biogeo",,,,,
ARISTIDA PURPUREA,9.88,0.0735,6.53,6.520633333,1.315133333,0.3626,50.55346667,0.71,"RootN, depth from groot","rootDiam Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",RTD from Butterfield et al. 2017 Plant Ecology,"leafN, height, SLA, SRL from Laughlin2010",,
ARISTIDA STRICTA,11.1128167,1.18872,NA,6.79,0.1524,NA,NA,NA,"leafN, SLA from Jardin et al. 2010 J. Biogeo","height, SLA from TRY",,,,
ARISTOLOCHIA CHILENSIS,NA,NA,NA,17.43,NA,NA,NA,NA,SLA from LEDA,,,,,
ARMERIA MARITIMA,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923,"Root N and Diam from Groot, https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13656","SLA, RTD, SRL from Lozano et al. 2020 Func. Ecol","leafN, height, depth from TRY",,,
ARRHENATHERUM ELATIUS,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"LeafN, height, SLA from PI","SLA Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",leafN and height from Jena,"rootN,RTD, SRL, rootdiam from groot",depth from TRY,
ARTEMISIA ABSINTHIUM,22.1,0.802333333,NA,24.66323678,NA,NA,NA,NA,leafN from Carmona et al. 2021 Sci Adv.,"hght, SLA from TRY",,,,
ARTEMISIA CAMPESTRIS,18.886,0.353,9.064339995,18.71203,1.22,0.366498,52.76693333,0.46,"RootN, SRL froom Groot","rootDiam Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","leafN, height, SLA from Laughlin2010",RTD from Lozano et al. 2020 Func. Ecol.,depth from Tumber-Davila et al. 2022 New Phytol,
ARTEMISIA INDICA,23.07881,1.882,NA,16.29,NA,NA,NA,NA,"leafN, height, SLA from PI",,,,,
ARTEMISIA LUDOVICIANA,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"Diam, RTD, SRL from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a",rootN from Stiblikova et al. 2023 Oikos,"leafN, SLA, depth from TRY",,
ARTEMISIA VULGARIS,44.63333333,1.439387862,NA,21.44697757,NA,0.103788328,270.1683965,0.241066667,"Diam, RTD, SRL from Groot","leafN, height, SLA",,,,
ASCLEPIAS TUBEROSA,26.19666667,0.5748,19.260113,24.40050548,0.4064,0.22,36.66666667,0.5,"leafN, height, SLA, depth from TRY","rootN, RTD, SRL, diam from groot",,,,
ASCLEPIAS VIRIDIS,30.82,0.456,NA,10.46681531,NA,0.320746666,41.57111916,0.36446,"Diam, RTD, SRL from Groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a",leafN from Craine et al. 2012 Plant Soil,"height, SLA from TRY",,
ASPERULA ARISTATA,NA,0.23,NA,6.483,0.51,NA,NA,NA,depth from Guerrero-Campo et al. 2006 Annals of Bot,,,,,
ASPERULA CYNANCHICA,15,0.284375,NA,27.91666667,0.93,NA,390.8625,NA,depth from Tumber-Davila et al. 2022 New Phytol,SRL from Lachaise et al. 2021 Oikos,"leafN from Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","height, SLA from TRY",,
ASPERULA GUNNII,NA,0.432,NA,21.796842,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
ASTER SQUAMATUS,NA,0.3,NA,24.49096986,NA,NA,NA,NA,"height, SLA from TRY",,,,,
ASTRAGALUS AGRESTIS,NA,0.3048,25.48,25.4434284,0.254,0.416287,20.82529,0.38865,SLA from Carmona et al. 2021 Sci Adv.,"height, depth from TRY",rootN from Stiblikova et al. 2023 Oikos,,,
ASTRAGALUS FLEXUOSUS,NA,NA,NA,18.84541998,NA,NA,NA,NA,SLA from Carmona et al. 2021 Sci Adv.,,,,,
ASTRAGALUS LAXMANNII,33.9,0.14648,NA,13.514,NA,NA,NA,NA,SlA from TRY,"leafN, height from Blumenthal 2020 shortgrass steppe northern mixed",,,,
ASTRAGALUS MISSOURIENSIS,NA,NA,NA,13.70899179,NA,NA,57.04635,0.26,"SLA, SRL, diam from PI",,,,,
ASTRAGALUS NUTTALLIANUS,NA,NA,NA,20.29476228,0.13,NA,9.530497,0.2,"SLA, rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from Stromberg et al. 2013 J. Arid Environments,SRL from Sevilleta PI,,,
ASTRANTIA MAJOR,28.539,0.4215,NA,22.75909384,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
ASTREBLA LAPPACEA,16.2306281,0.65,NA,11.43619445,NA,NA,NA,0.25146667,leafN from Jardin et al. 2020 J. Biogeo,"height, SLA from TRY",,,,
ASTREBLA PECTINATA,NA,0.63,NA,11.341433,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
ATRIPLEX PROSTRATA,NA,0.916666667,NA,19.49884967,NA,0.262341772,153.549483,0.1807,"height, SLA from TRY","RTD, SRL, diam from groot",,,,
AVENA BARBATA,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"Diam, RTD, SLR, from Justin",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
AVENA FATUA,28.3,1.0564,NA,21.775,0.2032,NA,36.25648864,NA,"leafN, height, SLA, depth from TRY",SRL from Kandlikar et al. 2022 Functional Ecol,,,,
AVENELLA FLEXUOSA,NA,0.3309,NA,61.28,0.75,NA,NA,NA,height from Heim 2021 thesis,depth from Tumber-Davila et al. 2022 New Phytol,,,,
AXONOPUS FISSIFOLIUS,11.3,0.07836831,NA,16.32,NA,NA,NA,NA,height from TRY,"leafN, SLA from PI",,,,
AXYRIS AMARANTHOIDES,26.3,1.2,NA,16.12903226,NA,NA,NA,NA,"leafN from Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819",height from TRY,SLA from China Plant Trait Database 2,,,
BAPTISIA ALBA,38.8,0.566,NA,10.46479935,NA,0.143056646,146.141189,0.309371429,"Diam, RTD, SRL from groot","height, SLA from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",leafN from Farrell 2018 Thesis Effects of management…,,,
BAPTISIA BRACTEATA,35.8,0.649,NA,12.09,2.032,NA,NA,NA,depth from groot,leafN from Khalil et al. 2019 Func Ecol,SLA from Craine and Towne 2010 Plant Soil,height from Carmona et al. 2021 Sci Adv.,,
BASSIA LANIFLORA,NA,0.25,NA,7.806666667,NA,NA,NA,NA,"SLA from Lhotsky B., Anikó Csecserits, Bence Kovács, Zoltán Botta-Dukát: New plant trait records of the Hungarian flora",heght from TRY,,,,
BASSIA SCOPARIA,32.45,1.184444444,NA,19.65690846,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
BELLIS PERENNIS,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583,"Diam, RTD,SRL from groot","leafN, height, SLA from Jena",rootN from Williams et al. 2021 J Ecol,depth from Tumber-Davila et al. 2022 New Phytol,,
BLENNOSPORA DRUMMONDII,NA,0.06807094,NA,18.695174,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
BOERHAVIA DIFFUSA,NA,0.55,NA,20.76,1.2,NA,14.29,NA,"height, SLA, SRL from Rolhauser et al. 2019 J Ecol",,,,,
BOTHRIOCHLOA LAGUROIDES,15.98,NA,NA,26,NA,NA,NA,NA,SLA from Cruz et al. 2019 Ecologia Austral,leafN from Craine et al. 2012 Plant Soil,,,,
BOUTELOUA ARISTIDOIDES,15.9,0.04,NA,12.89,0.3,NA,103.65,NA,depth from stromberg et al. 2017 J. Arid Envion.,"height, SRL from Rolhauser and Pucheta 2017 Ecology","leafN, SLA from TRY",,,
BOUTELOUA CURTIPENDULA,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,"leafN, height, rootN, SLA, SRL from Laughlin2010","RTD, diam from Craine et al. 2003",depth from TRY,,,
BOUTELOUA GRACILIS,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"RootC and N, RTD, SRL, Diam from Groot, rootDiam from Justin","RTD, diam from groot","leafN, height, rootN, SLA, SRL from Laughlin2010","depth from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",,
BRACHIARIA SERRATA,12.4209428,NA,NA,28.49,NA,NA,NA,NA,"leafN, SLA from Jardin et al 2020 J Biogeo",,,,,
BRACHYPODIUM DISTACHYON,21.9,0.1005,NA,30.85889908,0.5,NA,NA,NA,depth from Tumber-Davila et al. 2022 New Phytol,leafN from Navas et al. 2010 plant biology,"height, SLA from TRY",,,
BRACHYPODIUM PINNATUM,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"RootN, RTD, SRL, Diam from Groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
BRACHYPODIUM RETUSUM,7.1,0.4,NA,12.40924826,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
BRACHYSCOME DECIPIENS,NA,0.2,NA,15.221818,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
BRACHYSCOME PERPUSILLA,NA,0.07311427,NA,39.649227,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
BRIZA MAXIMA,10.2,0.6096,NA,68.9,0.254,NA,120.3,0.57,"SRL, diam from AusTraits","leafN, height, SLA, depth from TRY",,,,
BRIZA MEDIA,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"RootN, RTD, SRL, Diam from Groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
BRIZA MINOR,17.3,0.6,NA,40.562519,NA,NA,NA,0.284,"leafN, height, SLA, diam from AusTraits",,,,,
BRIZA SUBARISTATA,9.7912705,0.8,NA,9.71,NA,NA,NA,NA,height from AusTraits,"leafN, SLA from Jardine et al. 2020 J. Biogeo",,,,
BROMUS CATHARTICUS,39.6088,0.9572,4.9,35,0.3048,0.079079135,129.3385704,0.30525,"Root N, RTD, SRL, Diam from groot","leafN from Cerabolini B.E.L., Brusa G., Ceriani R.M., De Andreis R., Luzzaro A. & Pierce S. 2010. Can CSR classification be generally applied outside Britain? Plant Ecology 210: 253-261","height, SLA, depth from TRY",,,
BROMUS DIANDRUS,19.4,0.99,NA,39,NA,NA,238.8,NA,SRL from Aanderud et al. 2003 Oecologia,SLA from TRY,leafN from nutnet,,,
BROMUS ERECTUS,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"RootN, depth, RTD, SRL, Diam, from groot","leafN, height, SLA from TRY",,,,
BROMUS HORDEACEUS,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,RTD and SRL from Groot,"leafN, height, rootN, SLA, depth,diam from TRY",,,,
BROMUS INERMIS,21.49936399,0.81,17.20145333,17.7899321,0.3048,0.268601793,108.7724975,0.281416667,"RootN, RTD, SRL, Diam, from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA, depth from TRY",,,
BROMUS JAPONICUS,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"leafN, rootDiam Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",depth from groot,"height, SLA from TRY",,,
BROMUS RUBENS,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"leafN, SLA from AusTraits",,"height, depth from TRY",,,
BROMUS SETIFOLIUS,20,0.102,NA,20.31,NA,NA,NA,NA,"leafN from Vergutz, L., S. Manzoni, A. Porporato, R.F. Novais, and R.B. Jackson. 2012. A Global Database of Carbon and Nutrient Concentrations of Green and Senesced Leaves. Data set. Available on-line [http://daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A. http://dx.doi.org/10.3334/ORNLDAAC/1106","height, SLA from Barros et al. 2020 J. Envir. Management",,,,
BROMUS STERILIS,27.9,0.658333333,NA,30.5349098,1.5,NA,455.9545455,NA,depth from groot,SRL from Lachaise et al. 2021 Oikos,"leafN, height, SLA from TRY",,,
BROMUS TECTORUM,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"RootN, depth from groot","rootDiam Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","leafN, height, SLA from Laughlin2010",RTD from Stiblikova et al. 2023 Oikos,,
BUCHLOE DACTYLOIDES,24.2054525,0.057,15.93328833,22.1,1.8542,NA,110.5,NA,"leafN, SLA from Carmona et al. 2021 Sci Adv","RootN, depth, SRL from groot",,,,
BUGLOSSOIDES ARVENSIS,38,0.2183,NA,17.93814433,NA,NA,NA,NA,"height, SLA from TRY",leafN from FIFTH 11258_2010_9753_MOESM1_ESM,,,,
BULBINE BULBOSA,NA,0.4,NA,33.38,NA,NA,NA,NA,"height, SLA from TRY",,,,,
CALADENIA CARNEA,NA,0.135,NA,20.36104461,NA,NA,NA,NA,"height, SLA from TRY",,,,,
CALAMAGROSTIS EPIGEIOS,17.43326,1.396,6.6,18.65,NA,NA,57.46375,NA,"RootN, SRL from groot","leafN, height, SLA from Teshio",,,,
CALAMOVILFA LONGIFOLIA,13.59,0.968,5.2246,10.96892152,0.508,0.18,33,0.48,"RootN, Diam, RTD, SRL from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA, depth from TRY",,,
CALANDRINIA BALONENSIS,NA,0.275,NA,7.11,NA,NA,NA,NA,SLA from Carmona et al. 2021 Sci Adv.,height from AusTraits,,,,
CALANDRINIA CILIATA,21.1,0.0254,NA,26.31594056,NA,NA,467.4714912,NA,leafN from Komatsu et al. 2024 Environmental Data Initiative,"height, SLA, SRL from Aoyama et al. 2023 Func Ecol",,,,
CALOTIS HISPIDULA,NA,0.103333333,NA,11.56636819,NA,NA,NA,NA,"height, SLA from TRY",,,,,
CALOTIS LAPPULACEA,NA,0.5,NA,15.76,NA,NA,NA,NA,"height, SLA from TRY",,,,,
CALYLOPHUS SERRULATUS,23.21,NA,NA,11.69,1.33,NA,NA,NA,SLA Craine and Townsend 2010 Plant Soil,depth from Tumber-Davila et al. 2022 New Phytol,leafN from Carmona et al. 2021 Sci Adv,,,
CAMASSIA QUAMASH,NA,0.70104,NA,12.08,0.254,NA,NA,NA,SLA from Tortorelli et al. 2022 Ecology,"height, depth from TRY",,,,
