,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,X.1,X.2,X.3,X.4,X.5,X.6,local_lifespan,local_lifeform,functional_group
135,cedartrait.us,ACHILLEA MILLEFOLIUM,3.5,1,1,1,0,-2.5,2.5,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
144,allmendo.ch,ACHILLEA MILLEFOLIUM,0.75,1.375,1.25,0.75,-0.625,0.5,-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
156,allmendb.ch,ACHILLEA MILLEFOLIUM,1.333333333,1.875,1.833333333,1.25,-0.625,0.5,-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
185,kernb.ca,ACHILLEA MILLEFOLIUM,1,2,1.333333333,2.666666667,0.666666667,0.333333333,0.333333334,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
220,elvadrt.ee,ACHILLEA MILLEFOLIUM,5,3.666666667,2,6.666666667,3,-3,6,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
262,brookdale.ca,ACHILLEA MILLEFOLIUM,5,5,1,1.5,-3.5,-4,0.5,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
272,hard.us,ACHILLEA MILLEFOLIUM,0,6.25,1,2,-4.25,1,-5.25,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
284,cmss.us,ACHILLEA MILLEFOLIUM,0,20,2,0,-20,2,-22,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
288,sclaudio.ar,ACMELLA DECUMBENS,0,1,0.25,0,-1,0.25,-1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
290,marcdrt.ar,ACMELLA DECUMBENS,2.333333333,0,3,1,1,0.666666667,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
306,oreac.us,ACMISPON AMERICANUS,0.75,2,0.5,2,0,-0.25,0.25,NA,NA,NA,18.35535977,NA,NA,NA,0.481,91.1,0.061,0.516,0.061,91.1,"SLA, diam, SRL fine, RTD fine, RMF from Sebastian 2023",,,,,,,ANNUAL,FORB,LEGUME
327,capwhite.us,ACMISPON MARITIMUS,0,0,1.25,0.875,0.875,1.25,-0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,LEGUME,LEGUME
334,cowidrt.ca,ACMISPON PARVIFLORUS,1,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,LEGUME
340,gmgranite.us,ACMISPON STRIGOSUS,2.214285714,1.333333333,0,0.5,-0.833333333,-2.214285714,1.380952381,29.9,0.0756,NA,21.8,NA,NA,NA,0.454,93.7,0.067,0.522,0.067,93.7,"leafN, height, SLA from Justin","diam, SRL fine, RTD fine, RMF from Sebastian 2023",,,,,,ANNUAL,FORB,LEGUME
354,gmmolar.us,ACMISPON STRIGOSUS,3.416666667,2.771428571,0,0,-2.771428571,-3.416666667,0.645238096,29.9,0.0756,NA,21.8,NA,NA,NA,0.454,93.7,0.067,0.522,0.067,93.7,"leafN, height, SLA from Justin","diam, SRL fine, RTD fine, RMF from Sebastian 2023",,,,,,ANNUAL,FORB,LEGUME
367,jrnchi.us,ACOURTIA NANA,0.9663452,2.4220811,1.1698078,0.6207045,-1.8013766,0.2034626,-2.0048392,18.76667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leafN from TRY,,,,,,,PERENNIAL,FORB,FORB
372,cobar.au,ACTINOBOLE ULIGINOSUM,1,1,0,0,-1,-1,0,NA,0.015,NA,18.51241452,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",,,,,,,ANNUAL,FORB,FORB
377,brokenh.au,ACTINOBOLE ULIGINOSUM,4.333333333,3,0,0,-3,-4.333333333,1.333333333,NA,0.015,NA,18.51241452,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",,,,,,,ANNUAL,FORB,FORB
383,ukulingadrt.za,AFROASTER HISPIDA,0,1,3,7,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
392,matador.ca,AGOSERIS GLAUCA,0.5,0.5,0,0,-0.5,-0.5,0,17.2,0.2844,11.68,19.43598453,0.1524,0.126310185,56.33396327,NA,56.33396667,NA,0.477367848,NA,56.33396667,"height, rootN, SLA from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x40","depth, RMF from TRY",SRL from groot,leafN from Laughlin 2010,SRL fine from CoREE,RTD from Blonder 2018,,PERENNIAL,FORB,FORB
396,lygraint.no,AGROSTIS CANINA,1,1,1,1,0,0,0,20.86288625,0.4223,9.3,31.98710699,0.254,0.28,NA,0.15,NA,NA,0.34295,NA,NA,"leafN, height, rootN, SLA, depth, diam, RTD, RMF from TRY",,,,,,,PERENNIAL,GRASS,GRASS
409,lygraint.no,AGROSTIS CAPILLARIS,2,1,1,1,0,-1,1,27.65006595,0.393022873,8.907142857,44.73267142,0.3048,0.230872486,141.2639378,0.128571429,141.2639378,0.153459029,0.425077037,0.153459029,141.2639378,"leafN, height, rootN, SLA, depth, diam, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,,PERENNIAL,GRASS,GRASS
420,rhijn.nl,AGROSTIS GIGANTEA,4,2,0,0,-2,-4,2,16.68362333,0.935333333,NA,26.28771712,0.3556,NA,NA,NA,NA,NA,0.387208633,NA,NA,"leafN, height, SLA from Teshio PI",depth from TRY,RMF from groot,,,,,PERENNIAL,GRASS,GRASS
426,paike.ar,AGROSTIS INCONSPICUA,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,GRASS,GRASS
447,marcdrt.ar,AGROSTIS MONTEVIDENSIS,20,25,8,5.5,-19.5,-12,-7.5,NA,0.229358974,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from TRY,SLA from Cruz 2019,,,,,,PERENNIAL,FORB,GRASS
472,passogavia.it,AGROSTIS RUPESTRIS,1.54,0.8,2.5,1.7,0.9,0.96,-0.06,16.9302,0.035,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from Cerabolini 2010,,,,,,PERENNIAL,GRASS,GRASS
522,cedartrait.us,AGROSTIS SCABRA,2.333333333,1.5,0,0,-1.5,-2.333333333,0.833333333,31.62,0.274,9.366666667,17.29816561,0.3048,0.49746531,122.5050657,0.21,NA,0.2,NA,0.2,122.5050657,"leafN, height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x45","depth, RTD fine from TRY",diam from groot,,,,PERENNIAL,GRASS,GRASS
529,kernb.ca,AGROSTIS SCABRA,3.5,2.333333333,3,1.333333333,-1,-0.5,-0.5,31.62,0.274,9.366666667,17.29816561,0.3048,0.49746531,122.5050657,0.21,NA,0.2,NA,0.2,122.5050657,"leafN, height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x45",depth from TRY,diam from groot,,,,PERENNIAL,GRAMINOID,GRASS
548,mattheis.ca,AGROSTIS SCABRA,3.5,3,5,3,0,1.5,-1.5,31.62,0.274,9.366666667,17.29816561,0.3048,0.49746531,122.5050657,0.21,NA,0.2,NA,0.2,122.5050657,"leafN, height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x45",depth from TRY,diam from groot,,,,PERENNIAL,GRASS,GRASS
555,cedartrait.us,AGROSTIS STOLONIFERA,5,2.333333333,0,0,-2.333333333,-5,2.666666667,31.5111841,0.385,4.9,16.89577067,0.3048,0.66995614,58.9996858,0.1,11.32952711,0.239,0.363783369,0.239,11.32952711,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x46","leafN, dpeth, diam, SRL fine, RTD fine from TRY",RMF from groot,,,,,PERENNIAL,GRASS,GRASS
566,elvadrt.ee,AGROSTIS STOLONIFERA,0,0,1,1,1,1,0,31.5111841,0.385,4.9,16.89577067,0.3048,0.66995614,58.9996858,0.1,11.32952711,0.239,0.363783369,0.239,11.32952711,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x46","leafN, dpeth, diam, SRL fine, RTD fine from TRY",RMF from groot,,,,,PERENNIAL,GRASS,GRASS
571,jilpanger.au,AIRA ELEGANTISSIMA,0.75,0.5,0.625,0.5,0,-0.125,0.125,NA,0.29175,NA,25.83835367,0.066,NA,760.85,0.228,817.5,NA,0.185924967,NA,760.85,"depth, SRL, diam, RMF from groot","height, SLA from austraits",SRL fine from Mokany 2008,,,,,ANNUAL,GRASS,GRASS
588,purdue.us,ALCHEMILLA IDAEUS,10.66666667,18.25,28,37.5,19.25,17.33333333,1.91666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,SHRUB,WOODY
610,passogavia.it,ALCHEMILLA PENTAPHYLLEA,32.6,48.6,35,53.8,5.2,2.4,2.8,37.4,0.07,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, SLA from Cerabolini 2010",height from Carmona 2021,,,,,,PERENNIAL,FORB,FORB
660,kiskun.hu,ALKANNA TINCTORIA,3.666666667,1.833333333,0,0,-1.833333333,-3.666666667,1.833333334,11.2,0.4,NA,31.44654088,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, SLA from TRY",height from Carmona 2021,,,,,,PERENNIAL,FORB,FORB
669,cerrillos.ar,ALLIONIA INCARNATA,0,0,0.94,1.25,1.25,0.94,0.31,NA,0.04,NA,17.44222169,0.37,NA,NA,NA,10.31,NA,NA,NA,10.31,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","height, depth from Tumber-Davila 2022",SRL fine from Rolhauser 2016,,,,,PERENNIAL,FORB,FORB
682,oreaa.us,ALLIUM ACUMINATUM,0.5,0,0,1,1,-0.5,1.5,19.3,0.3048,NA,8.45,0.1524,NA,NA,1.64,NA,NA,NA,NA,NA,"height, depth from TRY","leafN, SLA, diam from Tortorelli 2022",,,,,,PERENNIAL,FORB,FORB
687,rhijn.nl,ALLIUM VINEALE,1,1,0,0,-1,-1,0,NA,0.5375,NA,16.97482573,0.7,NA,NA,NA,NA,NA,0.3951,NA,NA,"height, SLA, RMF from TRY",depth from Tumber-Davila 2022,,,,,,PERENNIAL,FORB,FORB
708,brokenh.au,ALTERNANTHERA SESSILIS,1.5,1,0,0,-1,-1.5,0.5,20,0.3,9.62,13.2,NA,NA,46.03,0.292,46.03,0.324,NA,0.324,46.03,"height, SLA from TRY","rootN, SRL, diam from groot",leafN from CoRRE,"SRL fine, RTD fine from Mackay 2019",,,,ANNUAL,FORB,FORB
712,nplatte.us,ALYSSUM DESERTORUM,0,0,2,2,2,2,0,NA,0.1,NA,27.17578947,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",,,,,,,ANNUAL,FORB,FORB
754,cedarsav.us,AMBROSIA ARTEMISIIFOLIA,0,0,8,1.5,1.5,8,-6.5,23.1,0.226,15.077975,21.40066874,1.22,0.08,135,0.36,141,0.08,NA,0.08,135,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, RTD fine from TRY","rootN, RTD, SRL, diam from groot",depth from Tumber-Davila 2022,SRL fine from Tjoelker 2005,,,ANNUAL,FORB,FORB
760,capmcd.us,AMBROSIA DELTOIDEA,0.5,0.5,0,0,-0.5,-0.5,0,44.19,0.4,NA,2.617596281,1.085,NA,NA,NA,NA,NA,NA,NA,NA,depth from Tumber-Davila 2022,"leafN, height, SLA from Carmona 2021",,,,,,ANNUAL,FORB,FORB
764,capwhite.us,AMBROSIA DELTOIDEA,0.5,0.5,0,0,-0.5,-0.5,0,44.19,0.4,NA,2.617596281,1.085,NA,NA,NA,NA,NA,NA,NA,NA,depth from Tumber-Davila 2022,"leafN, height, SLA from Carmona 2021",,,,,,ANNUAL,FORB,FORB
774,nnss.us,AMBROSIA DUMOSA,9.93746907,8.48419605,7.60434813,4.71178322,-3.77241283,-2.33312094,-1.43929189,29.546,0.6096,NA,37.74463129,0.3048,NA,NA,NA,NA,NA,0.39,NA,NA,"leafN, height, depth, RMF from TRY",SLA from CoRRE,,,,,,PERENNIAL,SHRUB,WOODY
814,cedarsav.us,AMBROSIA PSILOSTACHYA,4.666666667,9.5,0,0,-9.5,-4.666666667,-4.833333333,26.3,0.359666667,12.898947,18.22,0.99,NA,72.86941615,0.443566667,109.24,0.373588,NA,0.373588,72.86941615,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, SRL from groot",RTD fine from TRY,SRL fine from Tucker 2010,,,,PERENNIAL,FORB,FORB
838,konzadrt.us,AMBROSIA PSILOSTACHYA,6.6,13,21.6,11.8,-1.2,15,-16.2,26.3,0.359666667,12.898947,18.22,0.99,NA,72.86941615,0.443566667,109.24,0.373588,NA,0.373588,72.86941615,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, SRL from groot",RTD fine from TRY,SRL fine from Tucker 2010,,,,PERENNIAL,FORB,FORB
888,marcdrt.ar,AMBROSIA TENUIFOLIA,18.25,6.25,1.333333333,1,-5.25,-16.91666667,11.66666667,28.1,0.533333333,NA,11.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, SLA from TRY",height from austraits,,,,,,PERENNIAL,FORB,FORB
916,cedartrait.us,AMORPHA CANESCENS,6.166666667,2.5,3,0,-2.5,-3.166666667,0.666666667,21.77,0.446,27.18327333,13.80561828,0.508,NA,45.95532256,0.194,6.160976759,0.585778,0.340163729,0.585778,6.160976759,"leafN, height, SLA, SRL fine from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","depth, RTD fine from TRY","rootN, SRL, RMF from groot",diam from Tucker 2010,,,,PERENNIAL,FORB,LEGUME
936,cedarsav.us,AMORPHA CANESCENS,9.5,9.333333333,2.333333333,6.75,-2.583333333,-7.166666667,4.583333334,21.77,0.446,27.18327333,13.80561828,0.508,NA,45.95532256,0.194,6.160976759,0.585778,0.340163729,0.585778,6.160976759,"leafN, height, SLA, SRL fine from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","depth, RTD fine from TRY","rootN, SRL, RMF from groot",diam from Tucker 2010,,,,PERENNIAL,FORB,LEGUME
962,gmgranite.us,AMSINCKIA TESSELLATA,0,0.5,0.75,1,0.5,0.75,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
974,gmmolar.us,AMSINCKIA TESSELLATA,0.625,1.375,1,0.75,-0.625,0.375,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
991,nnss.us,AMSINCKIA TESSELLATA,1.288531317,1.523432657,2.58048512,0.6739395,-0.849493157,1.291953803,-2.14144696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
1020,scruzh.us,ANAGALLIS ARVENSIS,2.3255814,0,4.516493875,5.6818182,5.6818182,2.190912475,3.490905725,25.24965,0.187,NA,28.54781609,0.315,NA,NA,NA,74.80456747,NA,NA,NA,74.80456747,"height, SLA from TRY",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,SRL fine from Kandlikar 2022,,,,ANNUAL,FORB,FORB
1043,cedartrait.us,ANDROPOGON GERARDII,13,5,17,6.4,1.4,4,-2.6,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,NA,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,PERENNIAL,GRASS,GRASS
1108,brookdale.ca,ANDROPOGON GERARDII,19.83333333,9,2.875,2.611111111,-6.388888889,-16.95833333,10.56944444,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,NA,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,PERENNIAL,GRASS,GRASS
1142,cedarsav.us,ANDROPOGON GERARDII,7.666666667,9.75,17.14285714,8.8,-0.95,9.476190473,-10.42619047,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,NA,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,PERENNIAL,GRASS,GRASS
1184,purdue.us,ANDROPOGON GERARDII,27.375,27.375,18.75,26.66666667,-0.70833333,-8.625,7.91666667,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,NA,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,PERENNIAL,GRASS,GRASS
1227,konzadrt.us,ANDROPOGON GERARDII,43.2,41,50,53.6,12.6,6.8,5.8,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,NA,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,PERENNIAL,GRASS,GRASS
