,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,,,,,,
506,kernb.ca,AGROSTIS SCABRA,3.5,2.333333333,3,1.333333333,-1,-0.5,-0.5,31.62,0.274,9.366666667,17.29816561,0.3048,0.49746531,122.5050657,0.21,,0.2,,0.2,122.5050657,"leafN, height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x45",depth from TRY,diam from groot,,,
555,mattheis.ca,AGROSTIS SCABRA,3.5,3,5,3,0,1.5,-1.5,31.62,0.274,9.366666667,17.29816561,0.3048,0.49746531,122.5050657,0.21,,0.2,,0.2,122.5050657,"leafN, height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x45",depth from TRY,diam from groot,,,
512,cedartrait.us,AGROSTIS STOLONIFERA,5,2.333333333,0,0,-2.333333333,-5,2.666666667,31.5111841,0.385,4.9,16.89577067,0.3048,0.66995614,58.9996858,0.1,11.32952711,0.239,0.363783369,0.239,11.32952711,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x46","leafN, dpeth, diam, SRL fine, RTD fine from TRY",RMF from groot,,,,
1005,elvadrt.ee,AGROSTIS STOLONIFERA,0,0,1,1,1,1,0,31.5111841,0.385,4.9,16.89577067,0.3048,0.66995614,58.9996858,0.1,11.32952711,0.239,0.363783369,0.239,11.32952711,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x46","leafN, dpeth, diam, SRL fine, RTD fine from TRY",RMF from groot,,,,
73,jilpanger.au,AIRA ELEGANTISSIMA,0.75,0.5,0.625,0.5,0,-0.125,0.125,,0.29175,,25.83835367,0.066,,760.85,0.228,817.5,,0.185924967,,760.85,"depth, SRL, diam, RMF from groot","height, SLA from austraits",SRL fine from Mokany 2008,,,,
843,purdue.us,ALCHEMILLA IDAEUS,10.66666667,18.25,28,37.5,19.25,17.33333333,1.91666667,,,,,,,,,,,,,,,,,,,,
912,passogavia.it,ALCHEMILLA PENTAPHYLLEA,32.6,48.6,35,53.8,5.2,2.4,2.8,37.4,0.07,,21,,,,,,,,,,"leafN, SLA from Cerabolini 2010",height from Carmona 2021,,,,,
438,kiskun.hu,ALKANNA TINCTORIA,3.666666667,1.833333333,0,0,-1.833333333,-3.666666667,1.833333334,11.2,0.4,,31.44654088,,,,,,,,,,"leafN, SLA from TRY",height from Carmona 2021,,,,,
1019,cerrillos.ar,ALLIONIA INCARNATA,0,0,0.94,1.25,1.25,0.94,0.31,,0.04,,17.44222169,0.37,,,,10.31,,,,10.31,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","height, depth from Tumber-Davila 2022",SRL fine from Rolhauser 2016,,,,
984,oreaa.us,ALLIUM ACUMINATUM,0.5,0,0,1,1,-0.5,1.5,19.3,0.3048,,8.45,0.1524,,,1.64,,,,,,"height, depth from TRY","leafN, SLA, diam from Tortorelli 2022",,,,,
330,rhijn.nl,ALLIUM VINEALE,1,1,0,0,-1,-1,0,,0.5375,,16.97482573,0.7,,,,,,0.3951,,,"height, SLA, RMF from TRY",depth from Tumber-Davila 2022,,,,,
334,brokenh.au,ALTERNANTHERA SESSILIS,1.5,1,0,0,-1,-1.5,0.5,20,0.3,9.62,13.2,,,46.03,0.292,46.03,0.324,,0.324,46.03,"height, SLA from TRY","rootN, SRL, diam from groot",leafN from CoRRE,"SRL fine, RTD fine from Mackay 2019",,,
1043,nplatte.us,ALYSSUM DESERTORUM,0,0,2,2,2,2,0,,0.1,,27.17578947,,,,,,,,,,"height, SLA from TRY",,,,,,
1028,cedarsav.us,AMBROSIA ARTEMISIIFOLIA,0,0,8,1.5,1.5,8,-6.5,23.1,0.226,15.077975,21.40066874,1.22,0.08,135,0.36,141,0.08,,0.08,135,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, RTD fine from TRY","rootN, RTD, SRL, diam from groot",depth from Tumber-Davila 2022,SRL fine from Tjoelker 2005,,
129,capmcd.us,AMBROSIA DELTOIDEA,0.5,0.5,0,0,-0.5,-0.5,0,44.19,0.4,,2.617596281,1.085,,,,,,,,,depth from Tumber-Davila 2022,"leafN, height, SLA from Carmona 2021",,,,,
132,capwhite.us,AMBROSIA DELTOIDEA,0.5,0.5,0,0,-0.5,-0.5,0,44.19,0.4,,2.617596281,1.085,,,,,,,,,depth from Tumber-Davila 2022,"leafN, height, SLA from Carmona 2021",,,,,
744,nnss.us,AMBROSIA DUMOSA,9.93746907,8.48419605,7.60434813,4.71178322,-3.77241283,-2.33312094,-1.43929189,29.546,0.6096,,37.74463129,0.3048,,,,,,0.39,,,"leafN, height, depth, RMF from TRY",SLA from CoRRE,,,,,
763,cedarsav.us,AMBROSIA PSILOSTACHYA,4.666666667,9.5,0,0,-9.5,-4.666666667,-4.833333333,26.3,0.359666667,12.898947,18.22,0.99,,72.86941615,0.443566667,109.24,0.373588,,0.373588,72.86941615,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, SRL from groot",RTD fine from TRY,SRL fine from Tucker 2010,,,
807,konzadrt.us,AMBROSIA PSILOSTACHYA,6.6,13,21.6,11.8,-1.2,15,-16.2,26.3,0.359666667,12.898947,18.22,0.99,,72.86941615,0.443566667,109.24,0.373588,,0.373588,72.86941615,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, SRL from groot",RTD fine from TRY,SRL fine from Tucker 2010,,,
702,marcdrt.ar,AMBROSIA TENUIFOLIA,18.25,6.25,1.333333333,1,-5.25,-16.91666667,11.66666667,28.1,0.533333333,,11.245,,,,,,,,,,"leafN, SLA from TRY",height from austraits,,,,,
527,cedartrait.us,AMORPHA CANESCENS,6.166666667,2.5,3,0,-2.5,-3.166666667,0.666666667,21.77,0.446,27.18327333,13.80561828,0.508,,45.95532256,0.194,6.160976759,0.585778,0.340163729,0.585778,6.160976759,"leafN, height, SLA, SRL fine from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","depth, RTD fine from TRY","rootN, SRL, RMF from groot",diam from Tucker 2010,,,
760,cedarsav.us,AMORPHA CANESCENS,9.5,9.333333333,2.333333333,6.75,-2.583333333,-7.166666667,4.583333334,21.77,0.446,27.18327333,13.80561828,0.508,,45.95532256,0.194,6.160976759,0.585778,0.340163729,0.585778,6.160976759,"leafN, height, SLA, SRL fine from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","depth, RTD fine from TRY","rootN, SRL, RMF from groot",diam from Tucker 2010,,,
102,gmgranite.us,AMSINCKIA TESSELLATA,0,0.5,0.75,1,0.5,0.75,-0.25,,,,,,,,,,,,,,,,,,,,
378,gmmolar.us,AMSINCKIA TESSELLATA,0.625,1.375,1,0.75,-0.625,0.375,-1,,,,,,,,,,,,,,,,,,,,
417,nnss.us,AMSINCKIA TESSELLATA,1.288531317,1.523432657,2.58048512,0.6739395,-0.849493157,1.291953803,-2.14144696,,,,,,,,,,,,,,,,,,,,
1076,scruzh.us,ANAGALLIS ARVENSIS,2.3255814,0,4.516493875,5.6818182,5.6818182,2.190912475,3.490905725,25.24965,0.187,,28.54781609,0.315,,,,74.80456747,,,,74.80456747,"height, SLA from TRY",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,SRL fine from Kandlikar 2022,,,
655,cedartrait.us,ANDROPOGON GERARDII,13,5,17,6.4,1.4,4,-2.6,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,
750,brookdale.ca,ANDROPOGON GERARDII,19.83333333,9,2.875,2.611111111,-6.388888889,-16.95833333,10.56944444,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,
764,cedarsav.us,ANDROPOGON GERARDII,7.666666667,9.75,17.14285714,8.8,-0.95,9.476190473,-10.42619047,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,
881,purdue.us,ANDROPOGON GERARDII,27.375,27.375,18.75,26.66666667,-0.70833333,-8.625,7.91666667,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,
906,konzadrt.us,ANDROPOGON GERARDII,43.2,41,50,53.6,12.6,6.8,5.8,15.9,0.125,14.4,35.4,0.508,0.408045977,60.09709758,0.704,,0.27992125,0.467881279,0.27992125,60.09709758,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,
59,kernb.ca,ANDROSACE SEPTENTRIONALIS,0.5,0.5,0.5,0.5,0,0,0,19.5,0.009,12.29704857,21.53583333,0.1,,,,155.7514351,0.556349207,,0.556349207,155.7514351,"height, RTD fine, SRL fine from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x50",SLA from TRY,"rootN, depth from groot",leafN from Laughlin 2010,,,
1011,mattheis.ca,ANDROSACE SEPTENTRIONALIS,0,0,1,1,1,1,0,19.5,0.009,12.29704857,21.53583333,0.1,,,,155.7514351,0.556349207,,0.556349207,155.7514351,"height, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x50",SLA from TRY,"rootN, depth from groot",leafN from Laughlin 2010,,,
758,brookdale.ca,ANEMONASTRUM CANADENSE,6.944444444,9.166666667,2,2.4375,-6.729166667,-4.944444444,-1.784722223,,,,,,,,,,,,,,,,,,,,
484,cedarsav.us,ANEMONE CYLINDRICA,3,2,0,0,-2,-3,1,19.3307814,0.31,15.7,16.50792287,,0.700029683,11.27767343,0.36,46,0.19,0.39625,0.700029683,11.27767343,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x51","diam, RMF from groot",leafN from CoREE,RTD fine from TRY,SRL fine from Tjoelker 2005,
310,lygraint.no,ANTHOXANTHUM ODORATUM,1,1,1,0,-1,0,-1,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.107066623,344.3025853,0.111111111,,0.114313918,0.534301054,0.114313918,344.3025853,"leafN, height, SLA from Teshio PI","rootN, diam, RTD fine from TRY","depth, RTD, SRL, RMF from groot",,,,
715,rhijn.nl,ANTHOXANTHUM ODORATUM,6.666666667,6.666666667,8.75,0,-6.666666667,2.083333333,-8.75,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.107066623,344.3025853,0.111111111,,0.114313918,0.534301054,0.114313918,344.3025853,"leafN, height, SLA from Teshio PI","rootN, diam, RTD fine from TRY","depth, RTD, SRL, RMF from groot",,,,
725,cowidrt.ca,ANTHOXANTHUM ODORATUM,8.5,7.2,3.333333333,3.4,-3.8,-5.166666667,1.366666667,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.107066623,344.3025853,0.111111111,,0.114313918,0.534301054,0.114313918,344.3025853,"leafN, height, SLA from Teshio PI","rootN, diam, RTD fine from TRY","depth, RTD, SRL, RMF from groot",,,,
733,elvadrt.ee,ANTHOXANTHUM ODORATUM,1.666666667,7.666666667,1.333333333,1.5,-6.166666667,-0.333333334,-5.833333333,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.107066623,344.3025853,0.111111111,,0.114313918,0.534301054,0.114313918,344.3025853,"leafN, height, SLA from Teshio PI","rootN, diam, RTD fine from TRY","depth, RTD, SRL, RMF from groot",,,,
806,teshio.jp,ANTHOXANTHUM ODORATUM,12.9,12.75,16.66666667,14.5,1.75,3.76666667,-2.01666667,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.107066623,344.3025853,0.111111111,,0.114313918,0.534301054,0.114313918,344.3025853,"leafN, height, SLA from Teshio PI","rootN, diam, RTD fine from TRY","depth, RTD, SRL, RMF from groot",,,,
499,allmendo.ch,ANTHYLLIS VULNERARIA,1,2.166666667,0.875,1.5,-0.666666667,-0.125,-0.541666667,32.33118574,0.2845,19.6042,18.11730025,1.7,0.22014466,149.3012403,0.144333333,,0.0549,0.332563131,0.0549,149.3012403,"leafN, height, rootN, SLA, RTD fine from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,
722,baddrt.de,APERA SPICA-VENTI,1.775,7,4.7625,9.366666667,2.366666667,2.9875,-0.620833333,,0.775,,19.13333333,0.66,,193.8,,,,0.346243367,,,"height, SLA from TRY",RMF from groot,depth from Tumber-Davila 2022,SRL from Minden 2017,,,
